Name,UserID,Area_Of_Expertise_1,Area_Of_Expertise_2,Area_Of_Expertise_3,Area_Of_Expertise_4,Area_Of_Expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Marieke van Erp,QeZOR3AAAAAJ,text mining,cultural heritage,semantic web,cultural ai,digital humanities,,,,,,,,,,,,,,,,,,7,7,21,20,23,58
Gerold Schneider,l_8L7NYAAAAJ,Computational Linguistics,Corpus Linguistics,English Linguistics,Digital Humanities,Cognitive Linguistics,,,,,,,,,,7,10,22,17,34,43,74,98,105,131,126,153,203,162
Michael Andrec,dQT4ipgAAAAJ,Data analytics,statistics,digital humanities,,,,,,,,9,9,14,25,47,73,88,94,122,105,114,126,138,152,129,143,144,115
J. Berenike Herrmann,HmgX1bsAAAAJ,Data Humanities,Digital Humanities,Computational Stylistics,German-Swiss Literature,Sentiment Analysis,,,,,,,,,,,,,,,,,,,9,18,44,50,70
刘炜,X2BLbJ4AAAAJ,Digital Library,Digital Humanities,Knowledge Organization,Metadata,Librarianship,,,,,,,,,,18,31,61,73,82,67,60,83,102,110,138,143,164,163
anna gibbs,BS98_yYAAAAJ,Affect Theory,Literary Studies,Media Studies,Cultural Studies,Digital Humanities,,,,,,,,,,,,,7,11,18,13,21,17,29,25,38,43,84
Olga Uryupina,bL5GcAYAAAAJ,Natural Language Processing,Computation Linguistics,Social Media,Digital Humanities,Machine Learning,,,,,,,,,,,,,12,17,47,36,38,39,38,53,38,68,86
Moya Bailey,Nr8mmFMAAAAJ,Women's Studies,African American Studies,Digital Humanities,Disability Studies,Communication,,,,,,,,,,,,,,,,,,,,,,,10
Christopher Donaldson,4l01htwAAAAJ,Cultural History (esp. British c18/19),Historical Geography,Environmental History,Digital Humanities,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Roueche,tMk07f0AAAAJ,Classics,Byzantine Studies,Epigraphy,Digital Humanities,,6,9,13,7,16,21,32,24,32,26,32,48,49,55,40,41,59,76,54,74,88,112,130
Oliver Duke-Williams,7wDFF_sAAAAJ,Population geography,census,digital humanities,,,,,,,,6,6,7,15,23,21,22,38,36,45,37,64,60,78,120,79,87,96
Nicolas Gold,H0jzfvwAAAAJ,Ethics,Computer Music,Software Engineering,Digital Humanities,,,,,,,,,,,9,11,19,30,55,57,66,60,75,87,117,127,120,133
Astrid Ensslin,v6oKWJQAAAAJ,Video games,digital narrative,Digital Humanities,gender and the body,digital culture,,,,,,,,,,,,,,,,,21,16,34,61,79,90,154
Sarah Whitcher Kansa,DIrfVhUAAAAJ,archaeology,digital humanities,zooarchaeology,,,,,,,,,,,,,,,,,,,,10,16,17,44,64,56
Patrick E. Savage,UCIt79UAAAAJ,ethnomusicology,music cognition,cultural evolution,digital humanities,,,,,,,,,,,,,,,,,,,,,,,,10
Wajdi Zaghouani,Jayj_-cAAAAJ,Digital Humanities,Computational Social Sciences,Arabic Natural Language Processing,Computational Linguistics,,,,,,,,,,,,,,,,,13,19,29,28,42,20,43,47
Wolfgang Schmale,ZvoLgqkAAAAJ,History,Europe,Gender,Digital Humanities,Human Rights,,,,,,,,13,16,24,22,24,31,38,35,48,68,106,93,132,108,103,105
Ted Underwood,KmW82uwAAAAJ,Cultural Analytics,Digital Humanities,English Literary History,,,,,,,,,,,,,,,,,,,,,6,8,8,17,26
kerry mallan,Wd7vxoUAAAAJ,children's literature,digital media,digital participation,digital humanities,,,,,,,,,,,,9,8,5,16,21,13,18,22,47,55,91,106,115
Marian Dörk,pDg8ZMAAAAAJ,Data Visualization,Human-Computer Interaction,Digital Humanities,Urban Futures,,,,,,,,,,,,,,,,,,,,12,23,49,74,105
Uta Hinrichs,kGPAR0YAAAAJ,Data Visualization,Human Computer Interaction,Interaction Design,Digital Humanities,,,,,,,,,,,,,,,,,19,17,29,34,45,44,85,116
Marc Rittberger,gQOWgmkAAAAJ,Information Retrieval,Bibliometrics,Altmetrics,Digital Humanities,Information Quality,,,,12,10,2,14,5,16,7,8,7,9,24,11,27,8,13,19,23,29,55,73
Wei Ding,ShRPvWEAAAAJ,Data visualization,Bioinformatics,Data mining,Digital humanities,,,,,,,,,,,,,,,,,,,,,,,,
John Stell,h_Fv6o8AAAAJ,Spatial Reasoning,Knowledge Representation,Digital Humanities,,,10,9,3,6,17,9,11,18,41,35,55,71,83,90,84,88,93,86,110,81,84,80,106
Ben Verhoeven,Et9lJMgAAAAJ,Computational Linguistics,Text Mining,Stylometry,Digital Humanities,Corpus Linguistics,,,,,,,,,,,,,,,,,,,,,,,9
Marijn Koolen,ED4lSXwAAAAJ,information retrieval,artificial intelligence,information science,digital humanities,recommender systems,,,,,,,,,,,,,,,,,11,22,61,93,129,116,115
Albert-László Barabási,vsj2slIAAAAJ,network science,statistical physics,biological physics,physics,medicine,,,,,,,,,,802,1221,2275,3683,5199,6869,8147,9543,10210,11617,12221,13196,14902,16115
Joseph Loscalzo,ZfAwwkUAAAAJ,Vascular Biology,Nitric Oxide,Redox Biology,Systems Biology,Network Science,467,583,884,1292,1990,2084,2510,2688,3221,3426,3484,3443,3647,3563,4174,4153,4208,3958,4123,4296,4438,5197,5428
Duncan J Watts,LhOAiXMAAAAJ,Computational Social Science,Network Science,Sociology,Complex Systems,,,,,,,,,,,,604,910,1350,2046,2646,3460,4291,4732,5367,5708,6141,7034,7476
Reka Albert,d27Ji6kAAAAJ,Network science,Systems Biology,Mathematical Biology,,,,,,,,,,,,,653,1332,2075,2804,3727,4501,5250,5521,6294,6376,6517,6855,7222
Olaf Sporns,gzPWwdIAAAAJ,Network Science,Computational Neuroscience,Theoretical Neuroscience,Connectome,Connectomics,,,,,,,,,,,394,320,360,382,417,585,826,902,1192,1951,2614,3332,4623
Georgios  B. Giannakis,Nu_6R8sAAAAJ,Signal processing,machine learning,wireless communications,power systems,network science,,,233,296,307,386,564,495,602,738,910,1290,1657,2303,3140,3967,4234,4510,4416,4398,4162,4322,4558
